vds,wg,nfing,gdg,gsg,batchNum,vgs,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM,area
20,25.0,4,52,78,90,-1.2,3.17465,-14.07789,-31.595059999999997,81.28814,1.60572,10.10224,-50.32334,25.01696,-3.10045,10.77091,-17.09196,8.01645,100.0
20,25.0,6,22,33,91,-1.2,3.46025,-9.73418,-31.0734,83.71287,1.71767,12.30857,-50.85857,27.15199,-4.0221800000000005,12.7681,-15.289629999999999,8.01987,150.0
20,25.0,6,22,48,92,-1.2,3.39011,-11.08756,-31.15875,86.2489,1.6502400000000002,11.95309,-51.3071,27.06305,-3.9798199999999997,12.44839,-16.18524,8.018369999999999,150.0
20,25.0,6,22,78,93,-1.2,3.22238,-11.98778,-31.322470000000003,82.9186,1.62592,11.32784,-52.1418,26.842679999999998,-3.80914,11.9082,-17.6111,8.017000000000001,150.0
20,25.0,6,52,33,159,-1.2,3.36076,-9.403310000000001,-31.017329999999998,79.73265,1.72901,12.07817,-50.73406,27.025290000000002,-3.91056,12.49852,-15.091320000000001,8.01965,150.0
20,25.0,6,52,48,94,-1.2,3.3147,-11.80358,-31.150140000000004,81.93356,1.5937,11.53486,-51.48053,26.96535,-3.7756199999999995,12.00763,-16.7111,8.01717,150.0
20,25.0,6,52,78,95,-1.2,3.3940300000000003,-14.11846,-31.31147,81.0736,1.55901,10.567910000000001,-50.47453,27.068070000000002,-3.44081,11.1596,-18.46891,8.020589999999999,150.0
20,25.0,8,22,33,96,-1.2,3.37776,-9.82952,-30.82953,84.6082,1.8264099999999999,12.42919,-50.64416,28.296590000000002,-3.94245,12.932360000000001,-16.54756,8.0172,200.0
20,25.0,8,22,48,97,-1.2,3.32168,-11.25953,-30.913359999999997,86.06053,1.73807,12.071819999999999,-51.03376,28.22387,-3.90585,12.60914,-17.41076,8.016169999999999,200.0
20,25.0,8,22,78,98,-1.2,3.14161,-11.92046,-31.061909999999997,82.95629,1.7021099999999998,11.4089,-51.64857,27.98183,-3.72992,12.021339999999999,-18.75048,8.020539999999999,200.0
20,25.0,8,52,33,160,-1.2,3.27544,-11.933060000000001,-30.87002,78.61855,1.6767,11.74964,-51.2234,28.16299,-3.71613,12.2806,-18.1145,8.02492,200.0
20,25.0,8,52,48,99,-1.2,3.18397,-13.65596,-30.98415,81.99128,1.59785,11.17698,-51.34706,28.04,-3.5681300000000005,11.75773,-19.43532,8.01452,200.0
20,25.0,8,52,78,100,-1.2,3.1832700000000003,-14.10307,-31.208579999999998,81.7792,1.59728,10.20631,-50.443259999999995,28.039040000000004,-3.24464,10.87846,-20.000870000000003,8.02093,200.0
20,37.5,2,22,33,1021,-1.2,3.43875,-8.266160000000001,-31.467029999999998,86.12601,1.6532200000000001,12.22034,-50.124590000000005,24.114620000000002,-4.01149,12.585410000000001,-11.42954,8.01597,75.0
20,37.5,2,22,48,1022,-1.2,3.42869,-8.70894,-31.49323,87.60645,1.59356,12.11512,-50.30057,24.10189,-4.02056,12.47938,-11.70941,8.01551,75.0
20,37.5,2,22,78,1023,-1.2,3.4315800000000003,-9.69315,-31.478270000000002,86.75525999999999,1.5101,11.96482,-50.653420000000004,24.10555,-4.00632,12.33683,-12.293510000000001,8.022210000000001,75.0
20,37.5,2,52,33,145,-1.2,3.30122,-11.0486,-31.497770000000003,81.41188000000001,1.69347,11.749319999999999,-50.9551,23.93736,-3.77812,12.24112,-13.139320000000001,8.02355,75.0
20,37.5,2,52,48,1024,-1.2,3.26056,-11.67304,-31.50524,85.31553000000001,1.6339299999999999,11.50793,-51.244679999999995,23.88354,-3.73472,12.000639999999999,-13.81843,8.019160000000001,75.0
20,37.5,2,52,78,1025,-1.2,3.23291,-13.164979999999998,-31.53629,83.4018,1.52562,11.1651,-51.44721,23.84656,-3.6692400000000003,11.682889999999999,-14.97816,8.02223,75.0
20,37.5,4,22,33,1026,-1.2,3.41627,-8.08935,-30.982440000000004,89.35129,1.6675,12.297239999999999,-50.3303,27.096429999999998,-4.11293,12.65633,-14.31085,8.02074,150.0
20,37.5,4,22,48,1027,-1.2,3.40161,-9.02422,-30.987840000000002,90.66171999999999,1.59325,12.0988,-50.60593,27.07775,-4.0685400000000005,12.475060000000001,-14.891639999999999,8.01953,150.0
20,37.5,4,22,78,1028,-1.2,3.3689400000000003,-11.27326,-31.06209,87.82603,1.50575,11.74242,-51.176520000000004,27.03585,-3.5788800000000003,12.179969999999999,-16.17825,8.01727,150.0
20,37.5,4,52,33,146,-1.2,3.38309,-8.66437,-31.017570000000003,83.55279,1.6729900000000002,11.8943,-50.8504,27.054040000000004,-3.8807199999999997,12.281139999999999,-14.75174,8.019689999999999,150.0
20,37.5,4,52,48,1029,-1.2,3.33886,-10.18707,-31.10437,86.78915,1.57671,11.56277,-51.25635,26.9969,-3.82661,11.97225,-15.63328,8.01793,150.0
20,37.5,4,52,78,1030,-1.2,3.25529,-12.15728,-31.21203,85.25601999999999,1.48206,11.00333,-51.91342,26.886809999999997,-3.63025,11.478819999999999,-17.6689,8.015839999999999,150.0
20,37.5,6,22,33,1031,-1.2,3.42772,-9.43094,-30.654259999999997,90.37501999999999,1.83528,12.33427,-50.36783,28.871879999999997,-3.76266,12.82606,-16.8334,8.016160000000001,225.0
20,37.5,6,22,48,1032,-1.2,3.41161,-10.60945,-30.65762,92.00211,1.7255,12.11246,-50.605259999999994,28.851409999999998,-3.7723800000000005,12.605039999999999,-17.475920000000002,8.02305,225.0
20,37.5,6,22,78,1033,-1.2,3.37817,-12.357289999999999,-30.73446,87.5222,1.58786,11.69867,-51.06834,28.808629999999997,-3.6832800000000003,12.23638,-18.99496,8.0178,225.0
20,37.5,6,52,33,147,-1.2,3.42942,-8.54846,-30.580340000000003,84.53038000000001,1.63424,11.90761,-50.39223,28.874029999999998,-4.05987,12.28876,-16.437479999999997,8.01651,225.0
20,37.5,6,52,48,1034,-1.2,3.4054800000000003,-10.33049,-30.570259999999998,86.83041999999999,1.49171,11.55825,-50.75946,28.843609999999998,-3.6132800000000005,11.95068,-17.47856,8.01848,225.0
20,37.5,6,52,78,1035,-1.2,3.3372599999999997,-13.12945,-30.714809999999996,85.57637,1.34509,10.94623,-49.99135,28.75573,-3.8864400000000003,11.3971,-19.850179999999998,8.02391,225.0
20,37.5,8,22,33,1036,-1.2,3.3438,-8.20067,-30.087040000000002,91.74009000000001,1.7633900000000002,12.37395,-49.63378,30.01362,-3.82723,12.77977,-17.36283,8.019060000000001,300.0
20,37.5,8,22,48,1037,-1.2,3.3510199999999997,-9.5864,-30.114490000000004,92.62639,1.57798,12.127189999999999,-49.86701,30.022990000000004,-3.86249,12.52922,-18.18123,8.01497,300.0
20,37.5,8,22,78,1038,-1.2,3.32942,-12.83607,-30.2009,88.02124,1.36182,11.64826,-50.339859999999994,29.99489,-3.7936199999999998,12.08925,-20.61886,8.02235,300.0
20,37.5,8,52,33,148,-1.2,3.36838,-8.70229,-30.2055,83.62215,1.75265,11.96021,-50.11546,30.04542,-3.95549,12.3985,-17.79048,8.015410000000001,300.0
20,37.5,8,52,48,1039,-1.2,3.3420400000000003,-10.650039999999999,-30.2655,86.94096,1.58208,11.61277,-50.42938,30.011329999999997,-3.95353,12.05207,-18.97663,8.02407,300.0
20,37.5,8,52,78,1040,-1.2,3.25928,-13.03301,-30.369670000000003,85.52414,1.3799700000000001,10.98358,-50.51692,29.90243,-3.8326800000000003,11.46867,-21.06454,8.02027,300.0
20,50.0,2,22,33,101,-1.2,3.29541,-9.708089999999999,-31.337220000000002,90.90845999999999,1.7097099999999998,12.079839999999999,-50.8428,25.17909,-3.90335,12.521289999999999,-13.528929999999999,8.02462,100.0
20,50.0,2,22,48,102,-1.2,3.2967400000000002,-10.24577,-31.34445,90.98423000000001,1.6598,12.00864,-50.97788,25.18085,-3.9100300000000003,12.45451,-13.832529999999998,8.02375,100.0
20,50.0,2,22,78,103,-1.2,3.3013800000000004,-11.19624,-31.34944,90.17644,1.5856,11.90311,-51.19668,25.18696,-3.9146400000000003,12.3561,-14.47083,8.02246,100.0
20,50.0,2,52,33,149,-1.2,3.20235,-11.78852,-31.40976,84.80684000000001,1.7156099999999999,11.53378,-51.67443,25.05469,-3.59869,12.0924,-15.358460000000001,8.02089,100.0
20,50.0,2,52,48,104,-1.2,3.17075,-12.49507,-31.42274,88.12714,1.70776,11.38139,-51.95191,25.01161,-3.55631,11.96561,-15.96671,8.02417,100.0
20,50.0,2,52,78,105,-1.2,3.1589099999999997,-13.6027,-31.46817,85.93585999999999,1.6275700000000002,11.15218,-50.10485,24.995379999999997,-3.5187,11.755230000000001,-16.44742,8.018510000000001,100.0
