,,,,,batchNumber,VGS,fT_plt,fmax_plt,nf_min,gain
,,,,,min,min,min,min,min,min
VDS,Wg,nfing,gdg_val,gsg_val,,,,,,
16,87.5,4,52,48,310,-1.6,32.25854283,100.6498966,-1.3252977,0.1673309
16,87.5,4,52,63,311,-1.6,32.1710846,100.9184347,-1.3218633,0.1093842
16,87.5,4,52,78,312,-1.6,32.09782157,101.1278211,-1.3190888,0.0540024
16,87.5,6,22,33,469,-1.6,33.79396714,100.939859,-1.3342273,-1.2050974
16,87.5,6,22,48,470,-1.6,33.71824163,101.3069,-1.3306281,-1.2448844
16,87.5,6,22,63,471,-1.6,33.66133546,101.5710702,-1.3279659,-1.285934
16,87.5,6,22,78,472,-1.6,33.61544422,101.7770226,-1.3258472,-1.3277826
16,87.5,6,37,33,473,-1.6,33.74011615,100.5405848,-1.335052,-1.4424198
16,87.5,6,37,48,474,-1.6,33.66077185,100.9110648,-1.3312723999999998,-1.4878208
16,87.5,6,37,63,475,-1.6,33.60094962,101.1777444,-1.3284777,-1.5329322
16,87.5,6,37,78,476,-1.6,33.55247324,101.3856882,-1.3262561000000002,-1.5778612
16,87.5,6,52,33,477,-1.6,33.68506166,100.2793127,-1.3339775,-1.6824841
16,87.5,6,52,48,478,-1.6,33.60112410000001,100.6496293,-1.3299279,-1.7340381
16,87.5,6,52,63,479,-1.6,33.53763038,100.9181654,-1.3269345,-1.7835685
16,87.5,6,52,78,480,-1.6,33.48628865,101.1275526,-1.324558,-1.8318231
16,87.5,8,22,33,637,-1.6,33.61204063,100.9392754,-1.3353094,-3.0669445
16,87.5,8,22,48,638,-1.6,33.55415421,101.3063212,-1.3317526000000002,-3.1066836
16,87.5,8,22,63,639,-1.6,33.51279477,101.5704912,-1.3291308000000002,-3.148559
16,87.5,8,22,78,640,-1.6,33.48143946,101.776443,-1.3270507,-3.1917888
16,87.5,8,37,33,641,-1.6,33.56127314,100.5400003,-1.3362724,-3.3175618
16,87.5,8,37,48,642,-1.6,33.50043386,100.9104793,-1.3325911,-3.3621735
16,87.5,8,37,63,643,-1.6,33.45645368,101.177163,-1.3298886,-3.4073253
16,87.5,8,37,78,644,-1.6,33.42348654,101.3851065,-1.3277546,-3.4528229
16,87.5,8,52,33,645,-1.6,33.50970912,100.2787314,-1.3353645,-3.5696134
16,87.5,8,52,48,646,-1.6,33.44445484,100.6490458,-1.3314813,-3.6195502
16,87.5,8,52,63,647,-1.6,33.39830163,100.9175806,-1.3286433000000002,-3.6682553
16,87.5,8,52,78,648,-1.6,33.36309276,101.1269715,-1.326414,-3.7161897000000006
16,100.0,2,22,33,157,-1.6,31.95232171,97.9141687,-1.3615023000000002,2.5357337
16,100.0,2,22,48,158,-1.6,31.85674266,98.3125817,-1.357614,2.5305252
16,100.0,2,22,63,159,-1.6,31.77893073,98.6014626,-1.3547118,2.525742
16,100.0,2,22,78,160,-1.6,31.71235633,98.8281094,-1.3523831,2.5213624
16,100.0,2,37,33,161,-1.6,31.900887800000003,97.4847458,-1.3615986,2.2664125
16,100.0,2,37,48,162,-1.6,31.80056474,97.883282,-1.3573228000000002,2.2556595
16,100.0,2,37,63,163,-1.6,31.71896445,98.1723483,-1.3541035,2.246426
16,100.0,2,37,78,164,-1.6,31.64931752,98.3988868,-1.3515027,2.2382784
16,100.0,2,52,33,165,-1.6,31.84808045,97.2056798,-1.3595604,1.985819
16,100.0,2,52,48,166,-1.6,31.74220695,97.601801,-1.3547604,1.9687935
16,100.0,2,52,63,167,-1.6,31.65622203,97.8910864,-1.3511164,1.9545267
