batchNum,vds,vgs,wg,nfing,gdg,gsg,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM
144,20,-1.5,100,2,52,48,2.7408,17.3276,-31.54206,70.14375,1.02951,9.79945,-53.44249,27.38907,-6.33369,10.82896,21.05538,8.01158
145,20,-1.5,100,2,52,78,2.75391,18.03581,-31.49742,68.87107,1.04551,9.72279,-53.42859,27.4098,-6.10339,10.7683,21.3064,8.01146
146,20,-1.5,100,4,22,33,2.67727,16.17304,-30.73533,78.54518,1.03961,9.8404,-52.81562,30.29752,-6.65795,10.88001,23.63957,8.01094
147,20,-1.5,100,4,22,48,2.70233,16.84629,-30.64997,76.88926,1.04541,9.80448,-52.64105,30.33798,-6.43632,10.8499,23.90166,8.01106
148,20,-1.5,100,4,22,78,2.73104,17.77119,-30.54303,73.62815,1.05307,9.72466,-52.54529,30.38388,-6.13014,10.77773,24.25374,8.01123
149,20,-1.5,100,4,52,48,2.72467,17.74332,-30.55313,72.2738,1.0739,9.66967,-52.48035,30.37375,-6.11693,10.74357,24.25682,8.01124
150,20,-1.5,100,4,52,78,2.73585,18.6295,-30.46207,71.24667,1.07533,9.56342,-52.39051,30.39152,-5.80968,10.63875,24.58184,8.0114
151,20,-1.5,100,6,22,33,2.37166,17.73098,-30.12532,77.59224,1.04143,10.11889,-53.0341,31.53205,-6.04869,11.15288,25.48335,8.01282
152,20,-1.5,100,6,22,48,2.18709,18.38896,-30.01762,74.3123,1.03119,10.11335,-52.77864,31.18018,-5.46612,11.1355,25.71406,8.01315
153,20,-1.5,100,6,22,78,2.41103,19.25262,-29.89831,71.13827,1.01399,9.96315,-52.4788,31.60354,-5.58507,10.96541,26.01847,8.01353
154,20,-1.5,100,6,52,48,2.44704,18.67106,-29.92113,70.19018,1.0506,9.94806,-52.42144,31.66792,-5.72265,10.99552,25.94527,8.0131
155,20,-1.5,100,6,52,78,2.45039,19.52052,-29.82089,68.77352,1.02819,9.77677,-52.28828,31.67387,-5.44177,10.79933,26.2321,8.01347
156,20,-1.5,100,8,22,33,2.28956,17.35052,-29.54227,77.02749,0.96313,10.11209,-52.64561,32.62842,-6.03989,11.06461,26.58853,8.01344
157,20,-1.5,100,8,22,48,2.28053,18.00554,-29.44315,74.83786,0.94813,9.9261,-52.30464,32.61125,-5.78038,10.86094,26.83087,8.01373
158,20,-1.5,100,8,22,78,2.22306,18.79948,-29.39042,71.13475,0.93085,9.46693,-52.09162,32.5004,-5.37147,10.38065,27.12893,8.01396
159,20,-1.5,100,8,52,48,2.37107,17.20826,-29.36218,70.69498,0.97405,9.82845,-51.98467,32.78035,-5.9333,10.80249,26.84705,8.01355
160,20,-1.5,100,8,52,78,2.32582,18.25793,-29.22695,68.36698,0.94731,9.42363,-51.62661,32.69666,-5.43584,10.37094,27.26081,8.01387
1,24,-1.5,25,2,22,33,3.82559,9.30873,-32.55902,62.30461,0.35341,12.96713,-58.03575,22.81668,-10.58492,13.32054,12.23177,7.99024
2,24,-1.5,25,2,22,48,3.81481,9.86172,-32.58934,63.93062,0.36061,12.81006,-57.62314,22.80442,-10.28916,13.17033,12.51527,7.9872
3,24,-1.5,25,2,22,78,3.81347,10.93064,-32.61272,64.61362,0.38274,12.56967,-56.8845,22.80291,-9.75878,12.95116,13.04412,7.98271
4,24,-1.5,25,2,52,48,3.39889,14.36695,-32.5643,64.92471,0.70625,11.34213,-55.93818,22.30307,-7.84446,12.04838,14.45862,8.01869
5,24,-1.5,25,2,52,78,3.61422,16.15099,-32.54822,65.02766,0.78417,10.76274,-55.48914,22.56984,-7.41664,11.54691,15.15321,8.01729
6,24,-1.5,25,4,22,33,3.80492,9.54943,-32.3537,64.06086,0.375,12.95076,-57.5322,25.80346,-10.4468,13.32496,15.35666,8.02301
7,24,-1.5,25,4,22,48,3.75714,10.71709,-32.36765,65.79266,0.43817,12.63536,-57.05083,25.74858,-9.81648,13.07352,15.9321,8.02005
8,24,-1.5,25,4,22,78,3.5566,11.80793,-32.38929,65.64126,0.57247,11.99915,-56.55398,25.51035,-9.00747,12.57162,16.50288,8.01792
9,24,-1.5,25,4,52,48,3.93436,10.25761,-32.41734,64.52638,0.39261,11.72904,-56.88527,25.94875,-10.09747,12.12165,15.85128,8.02009
10,24,-1.5,25,4,52,78,3.66891,12.54696,-32.42353,65.59937,0.58315,10.7234,-55.57261,25.64537,-8.61766,11.30655,17.02771,8.01662
